P10-stationary Bike1-biopac-01-30-2025.acq
Graph Created on: 2024-08-14 13:19:54.643
Recording on: 2025-01-30 14:37:30.676
8 msec/sample
7 channels
RSP, Y, RSPEC-R
Volts
ECG, X, RSPEC-R
mV
ECG (.05 - 100 Hz, AHA)
mV
ECG R-R
Seconds
Heart Rate
BPM
ECG R wave
mV
Respiration Rate
BPM
milliSec	CH5	CH9	CH40	CH41	CH42	CH43	CH44	
	37501 samples	37501 samples	37501 samples	37501 samples	37501 samples	37501 samples	37501 samples	
0	-7.0993	0.0872803	0	0	0	0	0	
8	-7.09442	0.0708008	0	0	0	0	0	
16	-7.09442	0.0752258	0	0	0	0	0	
24	-7.08954	0.0610352	0	0	0	0	0	
32	-7.08954	0.0915527	0	0	0	0	0	
40	-7.08954	0.132904	0	0	0	0	0	
48	-7.08618	0.151062	0	0	0	0	0	
56	-7.08527	0.151062	0	0	0	0	0	
64	-7.08405	0.180359	0	0	0	0	0	
72	-7.08466	0.171051	0	0	0	0	0	
80	-7.08466	0.147095	0	0	0	0	0	
88	-7.08954	0.13916	0	0	0	0	0	
96	-7.08893	0.139923	0	0	0	0	0	
104	-7.08984	0.131683	0	0	0	0	0	
112	-7.08954	0.116882	0	0	0	0	0	
120	-7.09412	0.096283	0	0	0	0	0	
128	-7.09351	0.0590515	0	0	0	0	0	
136	-7.0993	0.0396729	0	0	0	0	0	
144	-7.0993	0.0341797	0	0	0	0	0	
152	-7.10419	0.01297	0	0	0	0	0	
160	-7.10388	-0.0273132	0	0	0	0	0	
168	-7.10876	-0.090332	0	0	0	0	0	
176	-7.11304	-0.149994	0	0	0	0	0	
184	-7.11426	-0.169678	0	0	0	0	0	
192	-7.11884	-0.181122	0	0	0	0	0	
200	-7.12219	-0.181122	0	0	0	0	0	
208	-7.12372	-0.222778	0	0	0	0	0	
216	-7.1286	-0.30838	0	0	0	0	0	
224	-7.13287	-0.357056	0	0	0	0	0	
232	-7.13379	-0.292511	0	0	0	0	0	
240	-7.13837	-0.250397	0	0	0	0	0	
248	-7.14294	-0.210114	0	0	0	0	0	
256	-7.14386	-0.168457	0	0	0	0	0	
264	-7.14844	-0.119629	0	0	0	0	0	
272	-7.15332	-0.0486755	0	0	0	0	0	
280	-7.15393	0.0244141	0	0	0	0	0	
288	-7.15881	0.109406	0	0	0	0	0	
296	-7.16309	0.188293	0	0	0	0	0	
304	-7.1637	0.228424	0	0	0	0	0	
312	-7.16797	0.263062	0	0	0	0	0	
320	-7.17346	0.291901	0	0	0	0	0	
328	-7.17346	0.307617	0	0	0	0	0	
336	-7.17834	0.312653	0	0	0	0	0	
344	-7.17834	0.299225	0	0	0	0	0	
352	-7.18262	0.271301	0	0	0	0	0	
360	-7.18872	0.254974	0	0	0	0	0	
368	-7.18842	0.242462	0	0	0	0	0	
376	-7.19299	0.244141	0	0	0	0	0	
384	-7.19299	0.251465	0	0	0	0	0	
392	-7.19818	0.204926	0	0	0	0	0	
400	-7.19788	0.108185	0	0	0	0	0	
408	-7.20306	-0.0444031	0	0	0	0.312653	0	
416	-7.20245	-0.137939	0	0	0	0.312653	0	
424	-7.20734	0.0180054	0	0	0	0.312653	0	
432	-7.20795	0.426025	0	0	0	0.312653	0	
440	-7.21283	0.494843	0	0	0	0.312653	0	
448	-7.21191	0.313721	0	0	0	0.312653	0	
456	-7.21252	0.0393677	0	0	0	0.312653	0	
464	-7.21741	-0.241699	0	0	0	0.312653	0	
472	-7.21771	-0.336609	0	0	0	0.312653	0	
480	-7.2229	-0.321808	0	0	0	0.312653	0	
488	-7.2226	-0.294647	0	0	0	0.312653	0	
496	-7.22198	-0.271606	0	0	0	0.312653	0	
504	-7.22687	-0.247955	0	0	0	0.312653	0	
512	-7.22809	-0.201416	0	0	0	0.312653	0	
520	-7.22839	-0.182953	0	0	0	0.312653	0	
528	-7.23236	-0.0668335	0	0	0	0.312653	0	
536	-7.23206	0.0196838	0	0	0	0.312653	0	
544	-7.23572	0.043335	0	0	0	0.312653	0	
552	-7.23694	0.0840759	0	0	0	0.312653	0	
560	-7.23755	0.111084	0	0	0	0.312653	0	
568	-7.23755	0.147552	0	0	0	0.312653	0	
576	-7.24243	0.201569	0	0	0	0.312653	0	
584	-7.24274	0.22995	0	0	0	0.312653	0	
592	-7.24243	0.23468	0	0	0	0.312653	0	
600	-7.24182	0.245514	0	0	0	0.312653	0	
608	-7.24701	0.237274	0	0	0	0.312653	0	
616	-7.24762	0.21698	0	0	0	0.312653	0	
624	-7.2467	0.196228	0	0	0	0.312653	0	
632	-7.2467	0.178223	0	0	0	0.312653	0	
640	-7.24762	0.13504	0	0	0	0.312653	0	
648	-7.2522	0.0985718	0	0	0	0.312653	0	
656	-7.2522	0.0588989	0	0	0	0.312653	0	
664	-7.2522	0.0370789	0	0	0	0.312653	0	
672	-7.2522	0.0158691	0	0	0	0.312653	0	
680	-7.25189	-0.0111389	0	0	0	0.312653	0	
688	-7.2525	-0.0378418	0	0	0	0.312653	0	
696	-7.2522	-0.063324	0	0	0	0.312653	0	
704	-7.25159	-0.0917053	0	0	0	0.312653	0	
712	-7.25189	-0.122223	0	0	0	0.312653	0	
720	-7.25189	-0.13443	0	0	0	0.312653	0	
728	-7.2522	-0.139008	0	0	0	0.312653	0	
736	-7.2525	-0.139313	0	0	0	0.312653	0	
744	-7.25189	-0.123596	0	0	0	0.312653	0	
752	-7.2522	-0.101013	0	0	0	0.312653	0	
760	-7.25159	-0.0816345	0	0	0	0.312653	0	
768	-7.25189	-0.0474548	0	0	0	0.312653	0	
776	-7.2525	-0.015564	0	0	0	0.312653	0	
784	-7.25189	0.00213623	0	0	0	0.312653	0	
792	-7.25159	0.0119019	-0.0488387	0	0	0.312653	0	
800	-7.25281	0.0210571	-0.163281	0	0	0.312653	0	
808	-7.25189	0.038147	-0.300014	0	0	0.312653	0	
816	-7.2522	0.0675964	-0.133257	0	0	0.312653	0	
824	-7.25189	0.0917053	0.460893	0	0	0.312653	0	
832	-7.2522	0.110931	0.508627	0	0	0.312653	0	
840	-7.24792	0.119324	0.305807	0	0	0.312653	0	
848	-7.2467	0.121613	0.0897974	0	0	0.312653	0	
856	-7.24701	0.11261	-0.161208	0	0	0.312653	0	
864	-7.24731	0.0933838	-0.204024	0	0	0.312653	0	
872	-7.24701	0.0730896	-0.182665	0	0	0.312653	0	
880	-7.24762	0.0656128	-0.184523	0	0	0.312653	0	
888	-7.24701	0.06073	-0.162248	0	0	0.312653	0	
896	-7.24701	0.0605774	-0.116408	0	0	0.312653	0	
904	-7.24731	0.0622559	-0.0592158	0	0	0.312653	0	
912	-7.24152	0.0630188	-0.117272	0	0	0.312653	0	
920	-7.24213	0.0518799	-0.00765434	0	0	0.312653	0	
928	-7.24213	0.0393677	0.0616401	0	0	0.312653	0	
936	-7.24243	0.0157166	0.038351	0	0	0.312653	0	
944	-7.24182	-0.00961304	0.0619077	0	0	0.312653	0	
952	-7.24182	-0.0363159	0.0480817	0	0	0.312653	0	
960	-7.24213	-0.0631714	0.0429091	0	0	0.312653	0	
968	-7.24213	-0.0915527	0.0790728	0	0	0.312653	0	
976	-7.24182	-0.10498	0.083908	0	0	0.312653	0	
984	-7.24152	-0.113983	0.0628222	0	0	0.312653	0	
992	-7.24274	-0.136566	0.0703641	0	0	0.312653	0	
1000	-7.23724	-0.141754	0.0534569	0	0	0.312653	0	
1008	-7.23694	-0.13443	0.026996	0	0	0.312653	0	
1016	-7.23724	-0.117035	0.0150003	0	0	0.312653	0	
1024	-7.23694	-0.0939941	0.0223892	0	0	0.312653	0	
1032	-7.23724	-0.0575256	-0.00995855	0	0	0.312653	0	
1040	-7.23663	-0.0280762	-0.0226108	0	0	0.312653	0	
1048	-7.23755	0.00366211	-0.0405026	0	0	0.312653	0	
1056	-7.23755	0.0402832	-0.0261132	0	0	0.312653	0	
1064	-7.23206	0.0695801	-0.0154521	0	0	0.312653	0	
1072	-7.23236	0.0952148	-0.0188377	0	0	0.312653	0	
1080	-7.23267	0.0878906	-0.0202303	0	0	0.312653	0	
1088	-7.23206	0.0543213	-0.0171305	0	0	0.312653	0	
1096	-7.22748	-0.0100708	-0.0223215	0	0	0.312653	0	
1104	-7.22748	-0.0424194	-0.0414981	0	0	0.312653	0	
1112	-7.2226	0.114136	-0.0389539	0	0	0.312653	0	
1120	-7.22229	0.445709	-0.0367546	0	0	0.312653	0	
1128	-7.21741	0.518036	-0.039667	0	0	0.312653	0	
1136	-7.2171	0.301666	-0.0229865	0.688	87.2093	0.312653	0	
1144	-7.21313	0.0135803	-0.00540565	0.688	87.2093	0.518036	0	
1152	-7.20856	-0.32074	-0.00631152	0.688	87.2093	0.518036	0	
1160	-7.20764	-0.429382	0.0152454	0.688	87.2093	0.518036	0	
1168	-7.20245	-0.3862	0.0332583	0.688	87.2093	0.518036	0	
1176	-7.20001	-0.291748	0.0301177	0.688	87.2093	0.518036	0	
1184	-7.19879	-0.225983	0.0179177	0.688	87.2093	0.518036	0	
1192	-7.19299	-0.196381	0.00506389	0.688	87.2093	0.518036	0	
1200	-7.18842	-0.169525	0.00242553	0.688	87.2093	0.518036	0	
1208	-7.18811	-0.130768	0.0183208	0.688	87.2093	0.518036	0	
1216	-7.18323	-0.0866699	0.0232813	0.688	87.2093	0.518036	0	
1224	-7.17865	-0.0572205	0.0265919	0.688	87.2093	0.518036	0	
1232	-7.17224	-0.0367737	0.0223467	0.688	87.2093	0.518036	0	
1240	-7.16888	-0.0135803	0.0213273	0.688	87.2093	0.518036	0	
1248	-7.1637	0.00274658	0.0105951	0.688	87.2093	0.518036	0	
1256	-7.16339	0.00717163	-0.012146	0.688	87.2093	0.518036	0	
1264	-7.15881	0.00259399	-0.0332334	0.688	87.2093	0.518036	0	
1272	-7.15332	0	-0.0288798	0.688	87.2093	0.518036	0	
1280	-7.14844	0.00640869	-0.0222524	0.688	87.2093	0.518036	0	
1288	-7.14325	0.0146484	-0.00957426	0.688	87.2093	0.518036	0	
1296	-7.13867	0.0102234	0.00617026	0.688	87.2093	0.518036	0	
1304	-7.13562	-0.00946045	0.0250457	0.688	87.2093	0.518036	0	
1312	-7.13348	-0.0283813	0.0300254	0.688	87.2093	0.518036	0	
1320	-7.12891	-0.0437927	0.0423803	0.688	87.2093	0.518036	0	
1328	-7.12402	-0.062561	0.0376904	0.688	87.2093	0.518036	0	
1336	-7.11884	-0.0915527	0.0294331	0.688	87.2093	0.518036	0	
1344	-7.11365	-0.109558	0.0168467	0.688	87.2093	0.518036	0	
1352	-7.10846	-0.12207	0.00361421	0.688	87.2093	0.518036	0	
1360	-7.10419	-0.131531	-0.0150793	0.688	87.2093	0.518036	0	
1368	-7.10114	-0.158081	-0.0131962	0.688	87.2093	0.518036	0	
1376	-7.09961	-0.168457	-0.0166451	0.688	87.2093	0.518036	0	
1384	-7.09503	-0.194397	-0.0577267	0.688	87.2093	0.518036	0	
1392	-7.08954	-0.195465	-0.0673521	0.688	87.2093	0.518036	0	
1400	-7.08435	-0.200348	-0.0573012	0.688	87.2093	0.518036	0	
1408	-7.07977	-0.202637	-0.0456422	0.688	87.2093	0.518036	0	
1416	-7.07977	-0.183716	-0.0491659	0.688	87.2093	0.518036	0	
1424	-7.07397	-0.162659	-0.0391944	0.688	87.2093	0.518036	0	
1432	-7.0697	-0.130463	-0.0322242	0.688	87.2093	0.518036	0	
1440	-7.06421	-0.109558	-0.00327357	0.688	87.2093	0.518036	0	
1448	-7.06482	-0.0866699	0.0310362	0.688	87.2093	0.518036	0	
1456	-7.05994	-0.0584412	0.0278142	0.688	87.2093	0.518036	0	
1464	-7.05505	-0.0389099	0.0188251	0.688	87.2093	0.518036	0	
1472	-7.05109	-0.030365	0.00151604	0.688	87.2093	0.518036	0	
1480	-7.04987	-0.0254822	0.00837237	0.688	87.2093	0.518036	0	
1488	-7.04468	-0.015564	-0.0392408	0.688	87.2093	0.518036	0	
1496	-7.04498	0.00946045	-0.130007	0.688	87.2093	0.518036	0	
1504	-7.03979	0.0364685	0.00870318	0.688	87.2093	0.518036	0	
1512	-7.03522	0.057373	0.454809	0.688	87.2093	0.518036	0	
1520	-7.03522	0.0752258	0.526102	0.688	87.2093	0.518036	0	
1528	-7.03094	0.0811768	0.269973	0.688	87.2093	0.518036	0	
1536	-7.03033	0.0802612	0.045716	0.688	87.2093	0.518036	0	
1544	-7.02545	0.0900269	-0.29122	0.688	87.2093	0.518036	0	
1552	-7.02515	0.102386	-0.351578	0.688	87.2093	0.518036	0	
1560	-7.02026	0.114288	-0.287999	0.688	87.2093	0.518036	0	
1568	-7.02057	0.119629	-0.192905	0.688	87.2093	0.518036	0	
1576	-7.01569	0.121765	-0.12469	0.688	87.2093	0.518036	0	
1584	-7.01477	0.112305	-0.0813209	0.688	87.2093	0.518036	0	
1592	-7.0105	0.091095	-0.0391423	0.688	87.2093	0.518036	0	
1600	-7.0108	0.0595093	-0.00124764	0.688	87.2093	0.518036	0	
1608	-7.00592	0.0354004	0.0297641	0.688	87.2093	0.518036	0	
1616	-7.00623	0.0134277	0.0411388	0.688	87.2093	0.518036	0	
